UniqueID,Label,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11
126,PF,0.341,0.331,0.8,0.5,2.4,1.0,0.7,0.3,0.7,2.5,10.2
127,Unknown,0.452,0.40700000000000003,0.943,0.3,1.6,2.7,0.7,0.0,0.9,1.4,13.3
128,PF,0.39899999999999997,0.39299999999999996,0.851,0.5,3.0,1.2,0.8,0.8,0.9,2.0,13.5
129,PF,0.473,0.373,0.493,2.1,5.3,0.9,0.5,0.5,1.5,2.6,12.5
130,SG,0.46399999999999997,0.446,0.84,0.3,2.0,1.4,0.7,0.3,1.0,1.6,8.6
131,C,,0.0,0.726,2.3,4.0,1.0,0.7,0.7,1.2,2.1,13.5
132,SF,0.442,0.36200000000000004,0.636,1.8,4.2,1.1,0.3,0.7,1.2,1.6,10.7
133,Unknown,0.409,0.37799999999999995,0.7709999999999999,0.4,2.8,1.1,0.7,0.1,0.7,1.7,10.3
134,Unknown,0.594,,0.778,4.2,6.9,1.2,0.6,0.8,1.2,2.5,11.5
135,Unknown,0.452,0.306,0.875,0.5,1.4,3.0,0.7,0.2,1.5,2.2,14.0
136,Unknown,0.35,0.195,,0.4,3.1,,1.4,0.0,2.2,2.3,6.0
137,C,0.517,0.391,0.821,1.9,4.7,1.7,0.2,1.3,1.3,1.9,11.7
138,PG,0.44299999999999995,0.27,0.769,0.6,2.2,5.6,1.3,0.1,1.0,0.6,8.7
139,PF,0.516,0.4,0.7070000000000001,1.6,3.5,1.6,0.8,0.5,1.0,2.2,10.4
140,SG,0.42200000000000004,0.313,0.7,0.7,3.2,2.0,1.0,1.0,2.4,2.8,12.6
141,C,0.583,0.418,0.667,1.4,3.9,1.4,0.6,1.0,1.0,2.8,9.6
142,SG,0.508,0.28600000000000003,0.667,0.9,4.3,2.4,1.1,0.4,1.5,2.6,12.8
143,PG,0.521,0.413,0.887,0.2,3.0,3.7,0.4,0.0,1.2,,11.7
144,C,0.534,0.441,0.7390000000000001,2.0,4.9,1.0,0.5,2.0,0.7,2.7,13.8
145,SG,0.46799999999999997,0.445,0.75,0.4,1.7,1.1,0.4,0.2,0.7,1.4,11.1
146,SF,0.44,0.369,0.5329999999999999,0.6,4.1,1.7,0.8,0.2,0.8,2.6,7.1
147,SG,0.40700000000000003,0.41,0.8859999999999999,0.4,2.4,1.9,1.1,0.2,1.2,1.3,9.8
148,SG,0.484,0.48200000000000004,0.8240000000000001,0.5,2.2,1.6,0.7,0.2,1.2,1.9,10.3
149,PG,0.397,0.366,0.632,,2.4,2.9,1.0,0.0,1.8,2.1,7.5
150,PG,0.483,0.35700000000000004,0.222,0.8,2.7,6.6,1.7,,1.7,1.4,5.2
151,SF,0.47600000000000003,0.289,0.629,1.0,2.0,1.1,1.0,0.7,0.6,2.0,8.2
152,C,0.5660000000000001,0.0,0.455,2.2,3.7,1.3,0.2,1.2,0.9,2.3,5.9
153,C,0.527,0.38799999999999996,0.738,1.4,3.6,1.3,0.7,1.3,1.2,3.2,12.8
154,PF,0.489,0.0,0.609,2.8,5.4,0.9,0.3,0.4,0.9,2.2,6.8
155,PF,0.415,0.36700000000000005,0.762,1.0,,1.5,0.7,0.5,1.1,1.9,11.1
156,PF,0.40399999999999997,0.409,0.8490000000000001,0.4,3.2,1.7,0.7,0.7,,1.9,9.0
157,SG,0.43,0.364,0.7140000000000001,0.3,2.1,2.1,0.6,0.0,1.1,1.6,7.7
158,Unknown,0.495,0.447,0.8390000000000001,1.2,2.6,1.4,1.0,0.3,1.0,2.2,7.3
159,Unknown,0.616,,0.278,2.8,4.0,1.7,0.6,1.4,1.1,2.0,6.3
160,Unknown,0.511,0.2,0.767,2.7,3.3,1.2,0.7,0.7,0.6,1.7,6.8
161,SF,0.36700000000000005,0.325,0.455,0.5,3.3,2.3,,0.4,1.0,1.4,4.4
162,SG,0.462,0.447,0.846,0.2,2.6,1.7,0.3,0.2,0.9,1.6,7.8
163,Unknown,0.353,0.195,0.735,1.0,1.8,1.2,0.9,0.7,0.8,1.9,5.3
164,C,0.546,0.46399999999999997,0.667,2.0,5.4,1.1,0.8,0.4,0.7,1.9,11.2
165,SG,0.483,0.44799999999999995,0.917,0.5,2.1,2.2,0.7,0.3,1.3,1.9,8.1
166,PF,0.534,0.3,0.7859999999999999,1.3,3.4,1.6,0.9,0.8,0.6,2.6,7.9
